allele,gene_family,refseq_nucleotide_accession,subclass
blaCARB-41,blaCARB,NG_048744.1,BETA-LACTAM
blaCARB-42,blaCARB,NG_048745.1,BETA-LACTAM
blaCARB-43,blaCARB,NG_048746.1,BETA-LACTAM
blaCARB-44,blaCARB,NG_048747.1,BETA-LACTAM
blaCARB-45,blaCARB,NG_048748.1,BETA-LACTAM
blaCARB-46,blaCARB,NG_048749.2,BETA-LACTAM
blaCARB-47,blaCARB,NG_050564.1,BETA-LACTAM
blaCARB-48,blaCARB,NG_050604.1,BETA-LACTAM
blaCAU-1,blaCAU,NG_048755.1,CARBAPENEM
blaMBL1b,blaCAU,NG_049292.1,CARBAPENEM
blaCBP-1,blaCBP,NG_048756.1,BETA-LACTAM
blaCDD-1,blaCDD,NG_065860.1,BETA-LACTAM
blaCDD-2,blaCDD,NG_065861.1,BETA-LACTAM
blaCFE-1,blaCFE,NG_048757.1,CEPHALOSPORIN
blaCFE-2,blaCFE,NG_063837.1,CEPHALOSPORIN
blaCGA-1,blaCGA,NG_048758.1,CEPHALOSPORIN
blaCIA-1,blaCIA,NG_048759.1,CEPHALOSPORIN
blaCIA-2,blaCIA,NG_048760.1,CEPHALOSPORIN
blaCIA-3,blaCIA,NG_048761.1,CEPHALOSPORIN
blaCIA-4,blaCIA,NG_048762.1,CEPHALOSPORIN
blaCKO-1,blaCKO,NG_048763.1,BETA-LACTAM
blaMAL-1,blaCKO,NG_049290.1,BETA-LACTAM
blaMAL-2,blaCKO,NG_049291.1,BETA-LACTAM
blaCMA-1,blaCMA,NG_062222.1,CEPHALOTHIN
blaCMA-2,blaCMA,NG_062212.1,CEPHALOTHIN
blaCME-1,blaCME,NG_048764.1,BETA-LACTAM
blaCME-2,blaCME,NG_048765.1,BETA-LACTAM
blaCMH-1,blaCMH,NG_048766.1,BETA-LACTAM
blaCMH-2,blaCMH,NG_048767.1,BETA-LACTAM
blaCMH-3,blaCMH,NG_050719.1,BETA-LACTAM
blaCMH-4,blaCMH,NG_061416.1,BETA-LACTAM
blaCMH-5,blaCMH,NG_061417.1,BETA-LACTAM
blaCMH-6,blaCMH,NG_067134.1,BETA-LACTAM
blaBIL-1,blaCMY,NG_054644.1,CEPHALOSPORIN
blaCMY-100,blaCMY,NG_048770.1,CEPHALOSPORIN
blaCMY-101,blaCMY,NG_048771.1,CEPHALOSPORIN
blaCMY-102,blaCMY,NG_048772.1,CEPHALOSPORIN
blaCMY-103,blaCMY,NG_048773.1,CEPHALOSPORIN
blaCMY-104,blaCMY,NG_048774.1,CEPHALOSPORIN
blaCMY-105,blaCMY,NG_048775.1,CEPHALOSPORIN
blaCMY-106,blaCMY,NG_048776.1,CEPHALOSPORIN
blaCMY-107,blaCMY,NG_048777.1,CEPHALOSPORIN
blaCMY-108,blaCMY,NG_048778.1,CEPHALOSPORIN
blaCMY-109,blaCMY,NG_048779.1,CEPHALOSPORIN
blaCMY-110,blaCMY,NG_048781.1,CEPHALOSPORIN
blaCMY-111,blaCMY,NG_048782.1,CEPHALOSPORIN
blaCMY-112,blaCMY,NG_048783.1,CEPHALOSPORIN
blaCMY-113,blaCMY,NG_048784.1,CEPHALOSPORIN
blaCMY-114,blaCMY,NG_048785.1,CEPHALOSPORIN
blaCMY-115,blaCMY,NG_048786.1,CEPHALOSPORIN
blaCMY-116,blaCMY,NG_048787.1,CEPHALOSPORIN
blaCMY-117,blaCMY,NG_048788.1,CEPHALOSPORIN
blaCMY-118,blaCMY,NG_048789.1,CEPHALOSPORIN
blaCMY-119,blaCMY,NG_048790.1,CEPHALOSPORIN
blaCMY-12,blaCMY,NG_048791.2,CEPHALOSPORIN
blaCMY-121,blaCMY,NG_048792.1,CEPHALOSPORIN
blaCMY-122,blaCMY,NG_048793.1,CEPHALOSPORIN
blaCMY-124,blaCMY,NG_048794.1,CEPHALOSPORIN
blaCMY-125,blaCMY,NG_048795.1,CEPHALOSPORIN
blaCMY-127,blaCMY,NG_048796.1,CEPHALOSPORIN
blaCMY-128,blaCMY,NG_048797.1,CEPHALOSPORIN
blaCMY-129,blaCMY,NG_048798.1,CEPHALOSPORIN
blaCMY-13,blaCMY,NG_048799.1,CEPHALOSPORIN
blaCMY-130,blaCMY,NG_048800.1,CEPHALOSPORIN
blaCMY-131,blaCMY,NG_048801.1,CEPHALOSPORIN
blaCMY-132,blaCMY,NG_048802.1,CEPHALOSPORIN
blaCMY-133,blaCMY,NG_048803.1,CEPHALOSPORIN
blaCMY-134,blaCMY,NG_048804.1,CEPHALOSPORIN
blaCMY-135,blaCMY,NG_048805.1,CEPHALOSPORIN
blaCMY-136,blaCMY,NG_068058.1,CEPHALOSPORIN
blaCMY-137,blaCMY,NG_066695.1,CEPHALOSPORIN
blaCMY-138,blaCMY,NG_048806.1,CEPHALOSPORIN
blaCMY-139,blaCMY,NG_048807.1,CEPHALOSPORIN
blaCMY-14,blaCMY,NG_048808.1,CEPHALOSPORIN
blaCMY-140,blaCMY,NG_050943.1,CEPHALOSPORIN
blaCMY-141,blaCMY,NG_051215.1,CEPHALOSPORIN
blaCMY-142,blaCMY,NG_051753.1,CEPHALOSPORIN
blaCMY-143,blaCMY,NG_052047.1,CEPHALOSPORIN
blaCMY-144,blaCMY,NG_052048.1,CEPHALOSPORIN
blaCMY-145,blaCMY,NG_052649.1,CEPHALOSPORIN
blaCMY-146,blaCMY,NG_052648.1,CEPHALOSPORIN
blaCMY-147,blaCMY,NG_052898.1,CEPHALOSPORIN
blaCMY-148,blaCMY,NG_054681.1,CEPHALOSPORIN
blaCMY-149,blaCMY,NG_054682.1,CEPHALOSPORIN
blaCMY-15,blaCMY,NG_048809.1,CEPHALOSPORIN
blaCMY-150,blaCMY,NG_060513.1,CEPHALOSPORIN
blaCMY-151,blaCMY,NG_054711.1,CEPHALOSPORIN
blaCMY-152,blaCMY,NG_054963.1,CEPHALOSPORIN
blaCMY-153,blaCMY,NG_054964.1,CEPHALOSPORIN
blaCMY-154,blaCMY,NG_055270.1,CEPHALOSPORIN
blaCMY-155,blaCMY,NG_055473.1,CEPHALOSPORIN
blaCMY-156,blaCMY,NG_056410.1,CEPHALOSPORIN
blaCMY-157,blaCMY,NG_055587.1,CEPHALOSPORIN
blaCMY-158,blaCMY,NG_062242.1,CEPHALOSPORIN
blaCMY-159,blaCMY,NG_062243.1,CEPHALOSPORIN
blaCMY-16,blaCMY,NG_048810.1,CEPHALOSPORIN
blaCMY-160,blaCMY,NG_057614.1,CEPHALOSPORIN
blaCMY-161,blaCMY,NG_057479.1,CEPHALOSPORIN
blaCMY-162,blaCMY,NG_060523.1,CEPHALOSPORIN
blaCMY-163,blaCMY,NG_060564.1,CEPHALOSPORIN
blaCMY-164,blaCMY,NG_065422.1,CEPHALOSPORIN
blaCMY-165,blaCMY,NG_065862.1,CEPHALOSPORIN
blaCMY-166,blaCMY,NG_065863.1,CEPHALOSPORIN
blaCMY-167,blaCMY,NG_065864.1,CEPHALOSPORIN
blaCMY-168,blaCMY,NG_067135.1,CEPHALOSPORIN
blaCMY-169,blaCMY,NG_067136.1,CEPHALOSPORIN
blaCMY-17,blaCMY,NG_048811.1,CEPHALOSPORIN
blaCMY-170,blaCMY,NG_067137.1,CEPHALOSPORIN
blaCMY-171,blaCMY,NG_068165.1,CEPHALOSPORIN
blaCMY-18,blaCMY,NG_048812.1,CEPHALOSPORIN
blaCMY-2,blaCMY,NG_048814.1,CEPHALOSPORIN
blaCMY-20,blaCMY,NG_048815.1,CEPHALOSPORIN
blaCMY-21,blaCMY,NG_048816.1,CEPHALOSPORIN
blaCMY-22,blaCMY,NG_048817.1,CEPHALOSPORIN
blaCMY-23,blaCMY,NG_048818.1,CEPHALOSPORIN
blaCMY-24,blaCMY,NG_048819.1,CEPHALOSPORIN
blaCMY-25,blaCMY,NG_048820.1,CEPHALOSPORIN
blaCMY-26,blaCMY,NG_048821.1,CEPHALOSPORIN
blaCMY-27,blaCMY,NG_048822.1,CEPHALOSPORIN
blaCMY-28,blaCMY,NG_048823.1,CEPHALOSPORIN
blaCMY-29,blaCMY,NG_048824.1,CEPHALOSPORIN
blaCMY-30,blaCMY,NG_048825.1,CEPHALOSPORIN
blaCMY-31,blaCMY,NG_048826.1,CEPHALOSPORIN
blaCMY-32,blaCMY,NG_048827.1,CEPHALOSPORIN
blaCMY-33,blaCMY,NG_048828.1,CEPHALOSPORIN
blaCMY-34,blaCMY,NG_048829.1,CEPHALOSPORIN
blaCMY-35,blaCMY,NG_048830.1,CEPHALOSPORIN
blaCMY-36,blaCMY,NG_048831.1,CEPHALOSPORIN
blaCMY-37,blaCMY,NG_048832.1,CEPHALOSPORIN
blaCMY-38,blaCMY,NG_047059.1,CEPHALOSPORIN
blaCMY-39,blaCMY,NG_048833.1,CEPHALOSPORIN
blaCMY-4,blaCMY,NG_048834.1,CEPHALOSPORIN
blaCMY-40,blaCMY,NG_048835.1,CEPHALOSPORIN
blaCMY-41,blaCMY,NG_048836.1,CEPHALOSPORIN
blaCMY-42,blaCMY,NG_048837.1,CEPHALOSPORIN
blaCMY-43,blaCMY,NG_048838.1,CEPHALOSPORIN
blaCMY-44,blaCMY,NG_048839.1,CEPHALOSPORIN
blaCMY-45,blaCMY,NG_048840.1,CEPHALOSPORIN
blaCMY-46,blaCMY,NG_048841.1,CEPHALOSPORIN
blaCMY-47,blaCMY,NG_048842.1,CEPHALOSPORIN
blaCMY-48,blaCMY,NG_048843.1,CEPHALOSPORIN
blaCMY-49,blaCMY,NG_048844.1,CEPHALOSPORIN
blaCMY-5,blaCMY,NG_048845.1,CEPHALOSPORIN
blaCMY-50,blaCMY,NG_048846.1,CEPHALOSPORIN
blaCMY-51,blaCMY,NG_048847.1,CEPHALOSPORIN
blaCMY-53,blaCMY,NG_048848.1,CEPHALOSPORIN
blaCMY-54,blaCMY,NG_048849.1,CEPHALOSPORIN
blaCMY-55,blaCMY,NG_048850.1,CEPHALOSPORIN
blaCMY-56,blaCMY,NG_048851.1,CEPHALOSPORIN
blaCMY-57,blaCMY,NG_048852.1,CEPHALOSPORIN
blaCMY-58,blaCMY,NG_048853.1,CEPHALOSPORIN
blaCMY-59,blaCMY,NG_048854.1,CEPHALOSPORIN
blaCMY-6,blaCMY,NG_048855.1,CEPHALOSPORIN
blaCMY-60,blaCMY,NG_048856.1,CEPHALOSPORIN
blaCMY-61,blaCMY,NG_048857.1,CEPHALOSPORIN
blaCMY-62,blaCMY,NG_048858.1,CEPHALOSPORIN
blaCMY-63,blaCMY,NG_048859.1,CEPHALOSPORIN
blaCMY-64,blaCMY,NG_048860.1,CEPHALOSPORIN
blaCMY-65,blaCMY,NG_048861.1,CEPHALOSPORIN
blaCMY-66,blaCMY,NG_048862.1,CEPHALOSPORIN
blaCMY-67,blaCMY,NG_048863.1,CEPHALOSPORIN
blaCMY-68,blaCMY,NG_048864.1,CEPHALOSPORIN
blaCMY-69,blaCMY,NG_048865.1,CEPHALOSPORIN
blaCMY-7,blaCMY,NG_048866.1,CEPHALOSPORIN
blaCMY-70,blaCMY,NG_048867.1,CEPHALOSPORIN
blaCMY-71,blaCMY,NG_048868.1,CEPHALOSPORIN
blaCMY-72,blaCMY,NG_048869.1,CEPHALOSPORIN
blaCMY-73,blaCMY,NG_048870.1,CEPHALOSPORIN
blaCMY-74,blaCMY,NG_048871.1,CEPHALOSPORIN
blaCMY-75,blaCMY,NG_048872.1,CEPHALOSPORIN
blaCMY-76,blaCMY,NG_048873.1,CEPHALOSPORIN
blaCMY-77,blaCMY,NG_048874.1,CEPHALOSPORIN
blaCMY-78,blaCMY,NG_048875.1,CEPHALOSPORIN
blaCMY-79,blaCMY,NG_048876.1,CEPHALOSPORIN
blaCMY-80,blaCMY,NG_048878.1,CEPHALOSPORIN
blaCMY-81,blaCMY,NG_048879.1,CEPHALOSPORIN
blaCMY-82,blaCMY,NG_048880.1,CEPHALOSPORIN
blaCMY-83,blaCMY,NG_048881.1,CEPHALOSPORIN
blaCMY-84,blaCMY,NG_048882.1,CEPHALOSPORIN
blaCMY-85,blaCMY,NG_048883.1,CEPHALOSPORIN
blaCMY-86,blaCMY,NG_048884.1,CEPHALOSPORIN
blaCMY-87,blaCMY,NG_048885.1,CEPHALOSPORIN
blaCMY-89,blaCMY,NG_048886.1,CEPHALOSPORIN
blaCMY-90,blaCMY,NG_048889.1,CEPHALOSPORIN
blaCMY-93,blaCMY,NG_048890.1,CEPHALOSPORIN
blaCMY-94,blaCMY,NG_048891.1,CEPHALOSPORIN
blaCMY-95,blaCMY,NG_048892.1,CEPHALOSPORIN
blaCMY-96,blaCMY,NG_048893.1,CEPHALOSPORIN
blaCMY-97,blaCMY,NG_048894.1,CEPHALOSPORIN
blaCMY-99,blaCMY,NG_048895.1,CEPHALOSPORIN
blaCPS-1,blaCPS,NG_048587.1,CARBAPENEM
blaCRD3-1,blaCRD3,NG_062235.1,CARBAPENEM
blaCRH-1,blaCRH,NG_054656.1,CARBAPENEM
blaCRH-2,blaCRH,NG_057456.1,CARBAPENEM
blaCRH-3,blaCRH,NG_057457.1,CARBAPENEM
blaCRP-1,blaCRP,NG_054657.1,CARBAPENEM
blaCSA-1,blaCSA,NG_062223.1,CEPHALOTHIN
blaCSA-2,blaCSA,NG_062211.1,CEPHALOTHIN
blaCSP-1,blaCSP,NG_048896.1,CEPHALOSPORIN
blaSPU-1,blaCSP,NG_050141.1,BETA-LACTAM
blaCTX-M-1,blaCTX-M,NG_048897.1,CEPHALOSPORIN
blaCTX-M-10,blaCTX-M,NG_048898.1,CEPHALOSPORIN
blaCTX-M-100,blaCTX-M,NG_048899.1,CEPHALOSPORIN
blaCTX-M-101,blaCTX-M,NG_048900.1,CEPHALOSPORIN
blaCTX-M-102,blaCTX-M,NG_048901.1,CEPHALOSPORIN
blaCTX-M-103,blaCTX-M,NG_048902.1,CEPHALOSPORIN
blaCTX-M-104,blaCTX-M,NG_048903.1,CEPHALOSPORIN
blaCTX-M-105,blaCTX-M,NG_048904.1,CEPHALOSPORIN
blaCTX-M-110,blaCTX-M,NG_048905.2,CEPHALOSPORIN
blaCTX-M-111,blaCTX-M,NG_048906.1,CEPHALOSPORIN
blaCTX-M-112,blaCTX-M,NG_048907.1,CEPHALOSPORIN
blaCTX-M-113,blaCTX-M,NG_048908.1,CEPHALOSPORIN
blaCTX-M-114,blaCTX-M,NG_048909.1,CEPHALOSPORIN
blaCTX-M-115,blaCTX-M,NG_048910.1,CEPHALOSPORIN
blaCTX-M-116,blaCTX-M,NG_048911.1,CEPHALOSPORIN
blaCTX-M-117,blaCTX-M,NG_048912.1,CEPHALOSPORIN
blaCTX-M-12,blaCTX-M,NG_048913.1,CEPHALOSPORIN
blaCTX-M-121,blaCTX-M,NG_048914.1,CEPHALOSPORIN
blaCTX-M-122,blaCTX-M,NG_048915.1,CEPHALOSPORIN
blaCTX-M-123,blaCTX-M,NG_048916.1,CEPHALOSPORIN
blaCTX-M-124,blaCTX-M,NG_048917.1,CEPHALOSPORIN
blaCTX-M-125,blaCTX-M,NG_048918.1,CEPHALOSPORIN
blaCTX-M-126,blaCTX-M,NG_048919.1,CEPHALOSPORIN
blaCTX-M-127,blaCTX-M,NG_055268.1,CEPHALOSPORIN
blaCTX-M-129,blaCTX-M,NG_048920.1,CEPHALOSPORIN
blaCTX-M-13,blaCTX-M,NG_048921.1,CEPHALOSPORIN
blaCTX-M-130,blaCTX-M,NG_048922.1,CEPHALOSPORIN
blaCTX-M-131,blaCTX-M,NG_048923.1,CEPHALOSPORIN
blaCTX-M-132,blaCTX-M,NG_048924.1,CEPHALOSPORIN
blaCTX-M-134,blaCTX-M,NG_048925.1,CEPHALOSPORIN
blaCTX-M-136,blaCTX-M,NG_048926.1,CEPHALOSPORIN
blaCTX-M-137,blaCTX-M,NG_048927.1,CEPHALOSPORIN
blaCTX-M-138,blaCTX-M,NG_051737.1,CEPHALOSPORIN
blaCTX-M-139,blaCTX-M,NG_048928.1,CEPHALOSPORIN
blaCTX-M-14,blaCTX-M,NG_048929.1,CEPHALOSPORIN
blaCTX-M-140,blaCTX-M,NG_068166.1,CEPHALOSPORIN
blaCTX-M-141,blaCTX-M,NG_048930.1,CEPHALOSPORIN
blaCTX-M-142,blaCTX-M,NG_048931.1,CEPHALOSPORIN
blaCTX-M-143,blaCTX-M,NG_067138.1,CEPHALOSPORIN
blaCTX-M-144,blaCTX-M,NG_048932.1,CEPHALOSPORIN
blaCTX-M-146,blaCTX-M,NG_056169.1,CEPHALOSPORIN
blaCTX-M-147,blaCTX-M,NG_048933.1,CEPHALOSPORIN
blaCTX-M-148,blaCTX-M,NG_048934.1,CEPHALOSPORIN
blaCTX-M-15,blaCTX-M,NG_048935.1,CEPHALOSPORIN
blaCTX-M-150,blaCTX-M,NG_048936.1,CEPHALOSPORIN
blaCTX-M-151,blaCTX-M,NG_048937.1,CEPHALOSPORIN
blaCTX-M-152,blaCTX-M,NG_048938.1,CEPHALOSPORIN
blaCTX-M-153,blaCTX-M,NG_068167.1,CEPHALOSPORIN
blaCTX-M-154,blaCTX-M,NG_067221.1,CEPHALOSPORIN
blaCTX-M-155,blaCTX-M,NG_048939.1,CEPHALOSPORIN
blaCTX-M-156,blaCTX-M,NG_048940.1,CEPHALOSPORIN
blaCTX-M-157,blaCTX-M,NG_048941.1,CEPHALOSPORIN
blaCTX-M-158,blaCTX-M,NG_048942.1,CEPHALOSPORIN
blaCTX-M-159,blaCTX-M,NG_048943.1,CEPHALOSPORIN
blaCTX-M-16,blaCTX-M,NG_048944.1,CEPHALOSPORIN
blaCTX-M-160,blaCTX-M,NG_048945.1,CEPHALOSPORIN
blaCTX-M-161,blaCTX-M,NG_048946.1,CEPHALOSPORIN
blaCTX-M-162,blaCTX-M,NG_048947.1,CEPHALOSPORIN
blaCTX-M-163,blaCTX-M,NG_048948.1,CEPHALOSPORIN
blaCTX-M-164,blaCTX-M,NG_048949.1,CEPHALOSPORIN
blaCTX-M-165,blaCTX-M,NG_048950.1,CEPHALOSPORIN
blaCTX-M-166,blaCTX-M,NG_048951.1,CEPHALOSPORIN
blaCTX-M-167,blaCTX-M,NG_048952.1,CEPHALOSPORIN
blaCTX-M-168,blaCTX-M,NG_048953.1,CEPHALOSPORIN
blaCTX-M-169,blaCTX-M,NG_048954.1,CEPHALOSPORIN
blaCTX-M-17,blaCTX-M,NG_048955.1,CEPHALOSPORIN
blaCTX-M-170,blaCTX-M,NG_048956.1,CEPHALOSPORIN
blaCTX-M-171,blaCTX-M,NG_051164.1,CEPHALOSPORIN
blaCTX-M-172,blaCTX-M,NG_048957.1,CEPHALOSPORIN
blaCTX-M-173,blaCTX-M,NG_048958.1,CEPHALOSPORIN
blaCTX-M-174,blaCTX-M,NG_048959.1,CEPHALOSPORIN
blaCTX-M-175,blaCTX-M,NG_048960.1,CEPHALOSPORIN
blaCTX-M-176,blaCTX-M,NG_048961.1,CEPHALOSPORIN
blaCTX-M-177,blaCTX-M,NG_048962.1,CEPHALOSPORIN
blaCTX-M-178,blaCTX-M,NG_056408.1,CEPHALOSPORIN
blaCTX-M-179,blaCTX-M,NG_048963.1,CEPHALOSPORIN
blaCTX-M-180,blaCTX-M,NG_048964.1,CEPHALOSPORIN
blaCTX-M-181,blaCTX-M,NG_048965.1,CEPHALOSPORIN
blaCTX-M-182,blaCTX-M,NG_048966.1,CEPHALOSPORIN
blaCTX-M-183,blaCTX-M,NG_050812.1,CEPHALOSPORIN
blaCTX-M-184,blaCTX-M,NG_050813.1,CEPHALOSPORIN
blaCTX-M-185,blaCTX-M,NG_050944.1,CEPHALOSPORIN
blaCTX-M-186,blaCTX-M,NG_051165.1,CEPHALOSPORIN
blaCTX-M-187,blaCTX-M,NG_056409.1,CEPHALOSPORIN
blaCTX-M-188,blaCTX-M,NG_051467.1,CEPHALOSPORIN
blaCTX-M-189,blaCTX-M,NG_051468.1,CEPHALOSPORIN
blaCTX-M-19,blaCTX-M,NG_048967.1,CEPHALOSPORIN
blaCTX-M-190,blaCTX-M,NG_051509.1,CEPHALOSPORIN
blaCTX-M-191,blaCTX-M,NG_056165.1,CEPHALOSPORIN
blaCTX-M-192,blaCTX-M,NG_056166.1,CEPHALOSPORIN
blaCTX-M-193,blaCTX-M,NG_052899.1,CEPHALOSPORIN
blaCTX-M-194,blaCTX-M,NG_052900.1,CEPHALOSPORIN
blaCTX-M-195,blaCTX-M,NG_052901.1,CEPHALOSPORIN
blaCTX-M-196,blaCTX-M,NG_052902.1,CEPHALOSPORIN
blaCTX-M-197,blaCTX-M,NG_054686.1,CEPHALOSPORIN
blaCTX-M-198,blaCTX-M,NG_054687.1,CEPHALOSPORIN
blaCTX-M-199,blaCTX-M,NG_054961.1,CEPHALOSPORIN
blaCTX-M-2,blaCTX-M,NG_048968.1,CEPHALOSPORIN
blaCTX-M-20,blaCTX-M,NG_048969.1,CEPHALOSPORIN
blaCTX-M-200,blaCTX-M,NG_055501.1,CEPHALOSPORIN
blaCTX-M-201,blaCTX-M,NG_055502.1,CEPHALOSPORIN
blaCTX-M-202,blaCTX-M,NG_055272.1,CEPHALOSPORIN
blaCTX-M-203,blaCTX-M,NG_055269.1,CEPHALOSPORIN
blaCTX-M-204,blaCTX-M,NG_055283.1,CEPHALOSPORIN
blaCTX-M-205,blaCTX-M,NG_055667.1,CEPHALOSPORIN
blaCTX-M-206,blaCTX-M,NG_056171.1,CEPHALOSPORIN
blaCTX-M-207,blaCTX-M,NG_056173.1,CEPHALOSPORIN
blaCTX-M-208,blaCTX-M,NG_057474.1,CEPHALOSPORIN
blaCTX-M-209,blaCTX-M,NG_057475.1,CEPHALOSPORIN
blaCTX-M-21,blaCTX-M,NG_048970.1,CEPHALOSPORIN
blaCTX-M-210,blaCTX-M,NG_057476.1,CEPHALOSPORIN
blaCTX-M-211,blaCTX-M,NG_057477.1,CEPHALOSPORIN
blaCTX-M-212,blaCTX-M,NG_057478.1,CEPHALOSPORIN
blaCTX-M-213,blaCTX-M,NG_057473.1,CEPHALOSPORIN
blaCTX-M-214,blaCTX-M,NG_057483.1,CEPHALOSPORIN
blaCTX-M-215,blaCTX-M,NG_063838.1,CEPHALOSPORIN
blaCTX-M-216,blaCTX-M,NG_057608.1,CEPHALOSPORIN
blaCTX-M-217,blaCTX-M,NG_057610.1,CEPHALOSPORIN
blaCTX-M-218,blaCTX-M,NG_057613.1,CEPHALOSPORIN
blaCTX-M-219,blaCTX-M,NG_059336.1,CEPHALOSPORIN
blaCTX-M-22,blaCTX-M,NG_048971.1,CEPHALOSPORIN
blaCTX-M-220,blaCTX-M,NG_060560.1,CEPHALOSPORIN
blaCTX-M-221,blaCTX-M,NG_061413.1,CEPHALOSPORIN
blaCTX-M-222,blaCTX-M,NG_061609.1,CEPHALOSPORIN
blaCTX-M-223,blaCTX-M,NG_062275.1,CEPHALOSPORIN
blaCTX-M-224,blaCTX-M,NG_062241.1,CEPHALOSPORIN
blaCTX-M-225,blaCTX-M,NG_064720.1,CEPHALOSPORIN
blaCTX-M-226,blaCTX-M,NG_064721.1,CEPHALOSPORIN
blaCTX-M-227,blaCTX-M,NG_065865.1,CEPHALOSPORIN
blaCTX-M-228,blaCTX-M,NG_065866.1,CEPHALOSPORIN
blaCTX-M-229,blaCTX-M,NG_065867.1,CEPHALOSPORIN
blaCTX-M-23,blaCTX-M,NG_048972.1,CEPHALOSPORIN
blaCTX-M-230,blaCTX-M,NG_067139.1,CEPHALOSPORIN
blaCTX-M-231,blaCTX-M,NG_067140.1,CEPHALOSPORIN
blaCTX-M-232,blaCTX-M,NG_067141.1,CEPHALOSPORIN
blaCTX-M-233,blaCTX-M,NG_067142.1,CEPHALOSPORIN
blaCTX-M-234,blaCTX-M,NG_068168.1,CEPHALOSPORIN
blaCTX-M-235,blaCTX-M,NG_068169.1,CEPHALOSPORIN
blaCTX-M-236,blaCTX-M,NG_068506.1,CEPHALOSPORIN
blaCTX-M-24,blaCTX-M,NG_048973.1,CEPHALOSPORIN
blaCTX-M-25,blaCTX-M,NG_048974.1,CEPHALOSPORIN
blaCTX-M-26,blaCTX-M,NG_048975.1,CEPHALOSPORIN
blaCTX-M-27,blaCTX-M,NG_048976.1,CEPHALOSPORIN
blaCTX-M-28,blaCTX-M,NG_048977.1,CEPHALOSPORIN
blaCTX-M-29,blaCTX-M,NG_048978.1,CEPHALOSPORIN
blaCTX-M-3,blaCTX-M,NG_048979.1,CEPHALOSPORIN
blaCTX-M-30,blaCTX-M,NG_048980.1,CEPHALOSPORIN
blaCTX-M-31,blaCTX-M,NG_048981.1,CEPHALOSPORIN
blaCTX-M-32,blaCTX-M,NG_048982.1,CEPHALOSPORIN
blaCTX-M-33,blaCTX-M,NG_048983.1,CEPHALOSPORIN
blaCTX-M-34,blaCTX-M,NG_048984.1,CEPHALOSPORIN
blaCTX-M-35,blaCTX-M,NG_048985.1,CEPHALOSPORIN
blaCTX-M-36,blaCTX-M,NG_048986.1,CEPHALOSPORIN
blaCTX-M-37,blaCTX-M,NG_048987.1,CEPHALOSPORIN
blaCTX-M-38,blaCTX-M,NG_048988.1,CEPHALOSPORIN
blaCTX-M-39,blaCTX-M,NG_048989.1,CEPHALOSPORIN
blaCTX-M-4,blaCTX-M,NG_048990.1,CEPHALOSPORIN
blaCTX-M-40,blaCTX-M,NG_048991.1,CEPHALOSPORIN
blaCTX-M-41,blaCTX-M,NG_048992.1,CEPHALOSPORIN
blaCTX-M-42,blaCTX-M,NG_048993.1,CEPHALOSPORIN
blaCTX-M-43,blaCTX-M,NG_048994.1,CEPHALOSPORIN
blaCTX-M-44,blaCTX-M,NG_048995.1,CEPHALOSPORIN
blaCTX-M-46,blaCTX-M,NG_048996.1,CEPHALOSPORIN
blaCTX-M-47,blaCTX-M,NG_048997.1,CEPHALOSPORIN
blaCTX-M-48,blaCTX-M,NG_048998.1,CEPHALOSPORIN
blaCTX-M-49,blaCTX-M,NG_048999.1,CEPHALOSPORIN
blaCTX-M-5,blaCTX-M,NG_049000.1,CEPHALOSPORIN
blaCTX-M-50,blaCTX-M,NG_049001.1,CEPHALOSPORIN
blaCTX-M-51,blaCTX-M,NG_049002.1,CEPHALOSPORIN
blaCTX-M-52,blaCTX-M,NG_049003.1,CEPHALOSPORIN
blaCTX-M-53,blaCTX-M,NG_049004.1,CEPHALOSPORIN
blaCTX-M-54,blaCTX-M,NG_049005.1,CEPHALOSPORIN
blaCTX-M-55,blaCTX-M,NG_049006.1,CEPHALOSPORIN
blaCTX-M-56,blaCTX-M,NG_049007.1,CEPHALOSPORIN
blaCTX-M-58,blaCTX-M,NG_049008.1,CEPHALOSPORIN
blaCTX-M-59,blaCTX-M,NG_049009.1,CEPHALOSPORIN
blaCTX-M-6,blaCTX-M,NG_049010.1,CEPHALOSPORIN
blaCTX-M-60,blaCTX-M,NG_049011.1,CEPHALOSPORIN
blaCTX-M-61,blaCTX-M,NG_049012.1,CEPHALOSPORIN
blaCTX-M-62,blaCTX-M,NG_049013.1,CEPHALOSPORIN
blaCTX-M-63,blaCTX-M,NG_049014.1,CEPHALOSPORIN
blaCTX-M-64,blaCTX-M,NG_049015.1,CEPHALOSPORIN
blaCTX-M-65,blaCTX-M,NG_049016.1,CEPHALOSPORIN
blaCTX-M-66,blaCTX-M,NG_049017.1,CEPHALOSPORIN
blaCTX-M-67,blaCTX-M,NG_049018.1,CEPHALOSPORIN
blaCTX-M-68,blaCTX-M,NG_049019.1,CEPHALOSPORIN
blaCTX-M-69,blaCTX-M,NG_049020.1,CEPHALOSPORIN
blaCTX-M-7,blaCTX-M,NG_049021.1,CEPHALOSPORIN
blaCTX-M-71,blaCTX-M,NG_049023.1,CEPHALOSPORIN
blaCTX-M-72,blaCTX-M,NG_049024.1,CEPHALOSPORIN
